form,city,ward,date,time,gender,seller_level_name,sellers_level_code,primary_drug_sold,secondary_drug_sold,3_stock_heroin_covid,3_stock_cocaine_covid,3_stock_meth_covid,4_g_heroin_sold_weekly_gms,4_g_cocaine_sold_weekly_gms,4_g_meth_sold_weekly_gms,5_heroin_sales_covid,5_cocaine_sales_covid,5_meth_sales,6_sell_to_sellers,6a_herion,6a_cocaine,6a_meth,6b_herion_units,6b_herion_g,6b_cocaine_units,6b_cocaine_g,6b_meth_units,6b_meth_grams,6c_herion,6c_cocaine,6c_meth,7_sell_to_users,7a_herion,7a_cocaine,7a_meth_,7b_herion_units,7b_herion_g,7b_cocaine_units,7b_cocaine_g,7b_meth_units,7b_meth_g,7c_herion,7c_cocaine,7c_meth,8_area_1,8_area_2,8_area_3,8_area_4,9_years_working,10_number_sellers_same_level,11_can_link
DBNSN013,dbn,Pine Town,17/08/2020,01h40,1,Runner,1,1,0,1,,,100,,,2,,,,,,,,,,,,,,,,1,200,,,4,0.4,,,,,3,,,Esbayeni,,,,,15,0
PMBSK001,pmb,27,23/08/2020,13:30,1,Runner,1,1,0,1,,,45,,,2,,,0,,,,,,,,,,,,,1,150,,,10,1,,,,,5,,,Mbhali Rank,,,,5,5,0
PMBSER002,pmb,27,23/08/2020,13:30,1,,2,1,2,1,2,,80,20,,2,2,,1,4,4,,20,4,20,1,,,3,3,,1,80,100,,2,0.4,1,0.05,,,5,5,,Church Street,CBD,,,7,4,0
PEKV001,pe,Overbaakens,30/08/2020,10h45,1,Mert,2,4,1,0,,0,200,6,360,2,,2,0,,,,,,,,,,,,,1,12,4,20,3,0.6,1,1,2,0.4,2,1,3,Overbaakens,Walmer,Charlo,,6,12,1
PEKV002,pe,Overbaakens,30/08/2020,11h20,1,Dealer,2,3,4,,1,1,,20,16,,2,2,0,,,,,,,,,,,,,1,,4,12,,,1,1,3,0.6,,1,3,Miramar,Charlo,Overbaakens,,3,6,0
PEKV003,pe,Walmer,30/08/2020,13h10,1,Mert,2,2,0,,0,,,170,,,2,,0,,,,,,,,,,,,,1,,200,,,,4,0.2,,,,2,,Port Elizabeth,,,,20,0,0
PEKV004,pe,Piet se Bos,30/08/2020,13h55,1,Mert,2,4,1,1,,1,16,,50,2,,2,0,,,,,,,,,,,,,1,18,,20,2,0.4,,,3,0.6,3,,3,Piet se Bos,,,,5,0,0
PEKV005,pe,Piet se Bos,30/08/2020,14h05,2,Mert,2,4,1,0,,0,40,,160,2,,2,0,,,,,,,,,,,,,1,30,,70,2,0.4,,,2,0.4,3,,3,Piet se Bos,Charlo,,,10,3,0
PESCM006,pe,Central,30/08/2020,11h00,1,Dealer,2,4,1,0,,0,10,,30,2,,2,0,,,,,,,,,,,,,1,31,,60,5,1,,,4,0.8,5,,3,Port Elizabeth,,,,10,,0
PESCM007,pe,Korsten,30/08/2020,01h24,1,,1,4,1,1,,1,15,,20,1,,1,0,,,,,,,,,,,,,1,10,,20,2,0.4,,,2,0.4,3,,3,Korsten,,,,1,,0
PEDJV008,pe,Govan Mbeki,30/08/2020,13h15,1,,1,4,1,1,,1,,,,1,,1,1,10,,40,,,,,,,3,,4,1,20,,20,2,0.4,,,2,0.4,3,,3,,,,,2,0,0
PEDJV009,pe,,30/08/2020,12h30,1,,2,4,1,1,,1,35,,40,2,,2,1,5,,6,,2,,,,4,3,,1,1,20,,30,2,0.4,,,1,0.2,3,,3,Korsten,Vlak/Vlok Vall,,,6,,0
PECH010,pe,,30/08/2020,13h06,1,Peddlar,2,1,4,1,,1,800,,400,2,,2,1,2,,2,20,10,,,20,10,1,,1,0,,,,,,,,,,,,,Richmond Hill,,,,8,,1
PECH011,pe,Central,30/08/2020,11h36,1,Peddlar,2,4,0,,,1,,,25,,,2,1,,,5,,,,,1,5,,,1,1,,,11,,,,,1,0.25,,,4,Central,,,,3,,1
PECH012,pe,,30/08/2020,12h07,1,,1,1,4,0,,0,45,,30,2,,2,0,,,,,,,,,,,,,1,80,,50,1,0.25,,,1,0.5,4,,3,Central,,,,4.5,,1
PECH013,pe,,30/08/2020,12h49,1,,2,1,4,1,,1,200,,100,2,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
PECH014,pe,Schauderville,29/08/2020,11h17,1,Captain,3,4,0,,,0,,,100,,,2,1,,,17,,,,,,,,,2,0,,,,,,,,,,,,,Schauderville,,,,40,20,1
PECH015,pe,Central,30/08/2020,10h35,1,Runner,1,1,4,0,,0,50,,100,2,,2,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
PEKV016,pe,Walmer,30/08/2020,12h45,,,3,4,2,,0,0,,200,1200,,2,2,1,,7,12,,,300,15,400,80,,3,3,1,,80,300,,,4,0.2,4,0.8,,4,3,Port Elizabeth,,,,25,7,0
PECH017,pe,Schauderville,29/08/2020,12h43,1,,1,4,0,,,0,,,700,,,2,1,,,5,,,,,,,,,2,1,,,50,,,,,,,,,,Schauderville,,,,,17,1
PECH018,pe,Walmer,30/08/2020,13h45,1,Mert,2,4,1,0,0,0,40,,100,2,2,2,0,,,,,,,,,,,,,1,80,,100,4,0.8,,,4,0.8,3,,3,Port Elizabeth,,,,16,20,0
PESCM019,pe,Korsten,30/08/2020,02h15,1,Dealer,2,4,1,0,,0,10,,50,0,,0,0,,,,,,,,,,,,,1,50,,60,5,1,,,1,0.2,5,,3,Korsten,,,,20,0,0
PEDJV020,pe,Govan Mbeki,30/08/2020,,1,Dealer,2,1,4,1,,1,40,,30,1,,1,1,10,,20,,15,,,,10,1,,3,1,,,,2,0.4,,,1,0.2,3,,3,Govan Mbeki,,,,2,,0
PESCM021,pe,Korsten,30/08/2020,01h00,1,,2,4,1,1,,1,30,,50,0,,2,0,,,,,,,,,,,,,1,40,,70,15,3,,,10,2,4,,4,,,,,12,,0
PESCM022,pe,Korsten,30/08/2020,02h50,1,,1,4,1,0,,1,10,,50,0,,2,0,,,,,,,,,,,,,1,10,,50,5,1,,,10,2,5,,3,Korsten,,,,15,,0
BLOXJP001,blm,6 Freedom,9/09/2020,10h15,1,Snyman,1,1,4,1,,1,10,,10,2,,2,0,,,,,,,,,,,,,1,15,,45,1,0.2,,,2,0.4,1,,4,Wards,,,,3,8,0
BLOMMJ002,blm,Phase 5,9/09/2020,12h10,1,,1,4,0,,,0,,,10,,,1,0,,,,,,,,,,,,,1,,,15,,,,,1,0.2,,,5,Phase 5,,,,1,0,1
BLOMN003,blm,Turflaagt,9/09/2020,13h00,1,Snyman,1,4,0,,,0,,,80,,,2,0,,,,,,,,,,,,,1,,,20,,,,,2,0.4,,,4,,,,,3,2,0
BLOMMT004,blm,Spotts,9/09/2020,10h06,1,Slaymen,1,3,4,,0,0,,20,40,,0,0,0,,,,,,,,,,,,,1,,5,32,,,1,1,2,0.4,,2,3,Club,,,,3,6,0
BLOBDN005,blm,Downtown,9/09/2020,12h32,1,Game Launge,1,4,0,,,1,,,80,,,1,0,,,,,,,,,,,,,1,,,25,,,,,4,0.8,,,2,Downtown Game Lounge,,,,3,5,0
BLOTNT006,blm,Downtown,9/09/2020,13h45,1,Khanny,2,3,4,,1,1,,300,500,,2,2,1,,3,5,,,1,100,1,100,,3,2,0,,,,,,,,,,,,,Town,,,,20,0,0
BLOKRM007,blm,Heidedal,8/09/2020,01h09,1,Snyman,1,3,4,,0,0,,20,10,,1,1,0,,,,,,,,,,,,,1,,20,30,,,1,1,1,0.2,,1,3,Heidedal,,,,7,40,1
