form,city,ward,date,time,gender,seller_level_name,sellers_level_code,primary_drug_sold,secondary_drug_sold,3_stock_heroin_covid,3_stock_cocaine_covid,3_stock_meth_covid,4_g_heroin_sold_weekly_gms,4_g_cocaine_sold_weekly_gms,4_g_meth_sold_weekly_gms,5_heroin_sales_covid,5_cocaine_sales_covid,5_meth_sales,6_sell_to_sellers,6a_herion,6a_cocaine,6a_meth,6b_herion_units,6b_herion_g,6b_cocaine_units,6b_cocaine_g,6b_meth_units,6b_meth_grams,6c_herion,6c_cocaine,6c_meth,7_sell_to_users,7a_herion,7a_cocaine,7a_meth_,7b_herion_units,7b_herion_g,7b_cocaine_units,7b_cocaine_g,7b_meth_units,7b_meth_g,7c_herion,7c_cocaine,7c_meth,8_area_1,8_area_2,8_area_3,8_area_4,9_years_working,10_number_sellers_same_level,11_can_link
JHBRKK019,jhb,Mapeta,23/09/2020,13h12,1,Runner,1,1,4,1,,1,200,,,2,,2,0,,,,,,,,,,,,,1,30,,40,6,1.2,,,6,1.2,3,,3,Merage Hosta South,,,,7,4,0
JHBRKK020,jhb,Mapeta,23/09/2020,12h38,1,Runner,1,1,0,1,,,1000,,,2,,,0,,,,,,,,,,,,,1,300,,,4,0.8,,,,,5,,,Merate,,,,3,3,0
JHBCN021,jhb,Beyrams,24/09/2020,14h49,1,Runner,1,2,1,1,1,1,100,35,20,2,2,2,0,,,,,,,,,,,,,1,25,35,15,3,0.6,2,0.1,1,0.2,3,3,3,Betrams,,,,1,6,1
JHBTAM022,jhb,Betrams,23/09/2020,15h13,1,Dealer,2,2,1,1,1,,100,125,,2,2,,1,7,10,,30,6,50,3,,,2,2,,1,7,21,,3,0.6,7,0.35,,,3,3,,Betrams,,,,10,15,0
JHBNS023,jhb,Betrams,24/09/2020,14h59,1,Deller,2,1,2,1,1,1,140,45,10,2,2,2,1,10,10,8,20,4,30,2,6,1,3,3,3,1,20,30,10,3,0.6,2,0.1,1,0.2,3,3,3,Betrams,On call clients (deliveries),,,6,15,0
JHBTQ024,jhb,Roodepoort,24/09/2020,11h40,1,,1,2,0,,1,,,400,,,2,,0,,,,,,,,,,,,,1,,400,,,,4,0.2,,,,3,,CBD,,,,4,3,0
JHBTQ025,jhb,Roodepoort,24/09/2020,12h00,1,,1,1,2,1,1,,100,30,,2,2,,0,,,,,,,,,,,,,1,300,200,,2,0.4,3,0.15,,,3,3,,Roodepoort,CBD,,,7,2,0
JHBTQ026,jhb,,,12h15,1,,1,1,0,1,,,400,,,2,,,0,,,,,,,,,,,,,1,350,,,2,0.4,3,0.15,,,3,3,,Hostel surrounding,,,,5,9,0
JHBTQ027,jhb,Roodepoort,,12h30,1,,1,1,2,1,1,,200,100,,2,2,,0,,,,,,,,,,,,,1,400,300,,4,0.8,3,0.15,,,3,3,,CBD,,,,5,5,0
JHBLMB028,jhb,Dube,24/09/2020,13h20,1,Runner,1,1,0,1,,,80,,,2,,,0,,,,,,,,,,,,,1,400,,,3,0.6,,,,,5,,,Dube Hostel,,,,7,6,0
JHBKR029,jhb,Zola (Park),24/09/2020,11h40,2,Runner,1,1,2,1,1,,600,100,,2,2,,0,,,,,,,,,,,,,1,300,100,,4,0.8,4,0.2,,,5,5,,Zola,,,,,0,0
JHBKR030,jhb,Soweto,24/09/2020,11h00,2,Snyman,2,1,2,0,0,,200,50,,2,2,,0,,,,,,,,,,,,,1,,,,5,1,3,0.15,,,5,5,,Zola,,,,10,4,0
JHB031,jhb,Soweto,24/09/2020,12h56,1,,1,1,0,0,,,,,,0,,,0,,,,,,,,,,,,,1,150,,,,,,,,,,,,Senane,,,,10,3,0
JHBSS032,jhb,Soweto,24/09/2020,12h27,1,,,1,3,0,0,,,,,2,2,,0,,,,,,,,,,,,,1,200,,,,,,,,,,,,Orland,Jabulani,,,10,12,0
JHBTAM033,jhb,Bezvalley,24/09/2020,,1,Runner,1,2,1,1,1,,30,12.5,,2,2,,0,,,,,,,,,,,,,1,5,25,,3,0.6,10,0.5,,,3,3,,Bezvalley,,,,1,10,0
JHBNS034,jhb,,24/09/2020,,1,Runner,1,1,2,1,1,1,300,100,200,2,2,2,0,,,,,,,,,,,,,1,50,50,50,6,1.2,5,0.25,1,0.2,5,5,5,Bezvalley,,,,1,6,0
MBOANZ001,mbo,Kanyamazane,30/09/2020,11h42,1,Dealer,2,2,0,,1,,,200,,,2,,0,,,,,,,,,,,,,1,,50,,,,2,0.1,,,,4,,Spots,,,,3,6,0
MBOBSN002,mbo,Lekazi,30/09/2020,14h20,1,Seller,1,1,2,1,1,,,,,2,2,,0,,,,,,,,,,,,,1,300,250,,2,0.4,4,0.2,,,5,4,,Lekazi,,,,15,8,0
MBOANZ003,mbo,Kanyamazane,30/09/2020,13h43,1,Dealer,2,1,0,1,,,100,,,2,,,0,,,,,,,,,,,,,1,20,,,3,0.6,,,,,5,,,Ext 1,,,,8,10,0
MBOBSN004,mbo,Lekazi,30/09/2020,12h20,1,Snyman,1,2,0,,1,,,,,,2,,0,,,,,,,,,,,,,1,,150,,2,,2,0.1,,,,5,,Lekazi,,,,10,3,0
MBONLS005,mbo,Kanyamazane,30/09/2020,12h45,1,Snyman,1,1,0,1,,,,,,2,,,0,,,,,,,,,,,,,1,200,,,4,0.8,,,,,5,,,Kanyamazane,,,,4,7,1
MBONLS006,mbo,Kanyamazane,30/09/2020,13h05,1,,2,1,0,1,,,,,,2,,,1,10,,,,,,,,,2,,,1,20,,,,,,,,,5,,,Kanyamazane,Town,,,2,15,1
MBONLS007,mbo,Daantjie,30/09/2020,15h20,1,Mdlali / Kaapman,1,1,2,1,1,,,,,2,2,,0,,,,,,,,,,,,,1,100,80,,4,0.8,2,0.1,,,3,3,,,,,,13,20,1
MBONLS008,mbo,Thekwane,30/09/2020,13h30,,Kaapman,2,2,0,,1,,,,,,2,,0,,,,,,,,,,,,,1,,80,,,,4,50 rand,,,,5,,Thekwane,,,,5,15,1
MBOPPV009,mbo,CBD,30/09/2020,14h15,1,Runner,1,1,2,1,1,,50,200,,2,2,,1,3,2,,,8,,32,,,3,3,,1,,,,,,,,,,3,3,,,,,,7,5,0
MBOSCO010,mbo,CBD,,14h15,2,Runner,1,2,1,1,1,,20,50,,2,2,,0,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,4,3,0
MBOGBW011,mbo,Maksulu,30/09/2020,12h00,1,,2,1,2,1,1,,30,10,,0,0,,0,,,,,,,,,,,,,1,25,20,,2,0.4,2,0.2,,,3,3,,Nazerete,,,,6,3,1
MBOGBW012,mbo,Maksulu,30/09/2020,10h35,1,,1,1,2,0,0,,40,15,,2,2,,0,,,,,,,,,,,,,1,30,20,,2,0.4,2,0.2,,,3,3,,Post office,,,,4,2,1
MBOBSM013,mbo,Maksulu,,14h20,1,Dealer,2,1,2,1,1,,60,27,,2,2,,0,,,,,,,,,,,,,1,20,8,,4,0.8,2,0.2,,,3,3,,Matsulu,,,,7,5,1
MBOBSM014,mbo,Maksulu,30/09/2020,15h08,1,Runner,1,1,2,1,1,,70,60,,2,2,,0,,,,,,,,,,,,,1,30,13,,3,0.6,2,0.4,,,3,3,,Matsulu,,,,5,4,1
MBOBSM015,mbo,CBD,1/10/2020,15h08,1,Dealer,2,1,2,1,1,,63,10.5,,2,2,,0,,,,,,,,,,,,,1,20,10,,5,1,3,0.15,,,3,3,,Rob Ferreira,,,,4,4,1
MBOBSM016,mbo,CBD,,13h00,1,Runner,1,1,2,1,1,,42,10,,2,2,,0,,,,,,,,,,,,,1,15,8,,4,0.8,2,0.1,,,3,3,,Nelsvill,,,,5,6,0
MBOBGW017,mbo,CBD,1/10/2020,14h30,1,Dealer,2,1,2,0,0,,80,15,,0,0,,0,,,,,,,,,,,,,1,20,15,,3,0.6,2,0.1,,,3,3,,CBD,,,,8,10,1
MBOSCO018,mbo,Nkohlakalo,1/10/2020,13h15,1,Seller,1,1,2,1,1,1,,,,2,2,,0,,,,,,,,,,,,,1,40,50,,2,0.4,10,0.5,,,3,3,,,,,,4,9,0
MBOGBW019,mbo,CBD,1/10/2020,12h50,1,Dealer,2,1,2,0,0,0,70,15,20,2,2,2,0,,,,,,,,,,,,,1,25,22,7,4,0.8,2,0.1,2,0.4,3,3,3,CBD,,,,12,10,1
MBOPPV020,mbo,New Skom,1/10/2020,15h00,1,Runner,1,4,1,1,,1,5,,50,2,,2,0,,,,,,,,,,,,,1,40,,20,6,1.2,,,4,0.8,3,,3,New Skom,,,,3,10,0
MBOAN021,mbo,Kabokweni,1/10/2020,11h46,1,Runner,1,1,0,1,,,10,,,2,,,0,,,,,,,,,,,,,1,20,,,8,1.6,,,,,3,,,Kabhokweni,,,,1,10,0
MBOANZ022,mbo,White River,1/10/2020,12h28,1,Dealer,2,1,0,0,,,160,,,2,,,0,,,,,,,,,,,,,1,60,,,4,0.8,,,,,5,,,,,,,11,9,0
MBONLD023,mbo,Kabokweni,1/10/2020,14h42,1,Dealer,2,1,2,1,1,,224,87.5,,2,2,,0,,,,,,,,,,,,,1,40,70,,4,0.8,7,0.35,,,5,5,,Kabhokeni,,,,8,2,0
MBONLS024,mbo,Winter,1/10/2020,12h10,1,Runner,1,2,0,,1,,,40,,,2,,0,,,,,,,,,,,,,1,,25,,,,5,0.25,,,,5,,Witriver,,,,5,3,0
MBOANZ025,mbo,Kabokweni,,,,,2,2,0,,1,,,50,,,2,,0,,,,,,,,,,,,,1,,75,,,,5,0.25,,,,5,,Tsxi Rank,,,,6,7,0
MBOANZ026,mbo,Kabokweni,1/10/2020,14h49,,Runner,1,2,0,,1,,,50,,,2,,0,,,,,,,,,,,,,1,,75,,,,5,0.25,,,,5,,Taxi Rank,,,,6,7,0
MBOPPV027,mbo,Kabokweni,1/10/2020,12h16,1,Runner,1,2,0,,2,,,100,,,2,,0,,,,,,,,,,,,,1,,20,,,,10,0.5,,,,3,,Kabhokeni,,,,1,8,0
MBOAN028,mbo,New Skom,1/10/2020,15h00,1,Seller,1,2,1,1,1,,,100,,2,2,,0,,,,,,,,,,,,,1,30,20,,4,0.8,6,0.3,,,3,4,,New Skom,,,,5,7,1
MBOSCO0029,mbo,Kabokweni,1/10/2020,13h00,1,Runner,1,1,2,1,1,1,,,,2,2,,0,,,,,,,,,,,,,1,65,80,,15,1.5,5,0.25,,,3,3,,,,,,7,4,0
PLKMJS001,plk,CBD,6/10/2020,13h00,1,Makwere,2,1,2,0,0,0,800,250,,1,1,,1,6,,,2000,400,,,,,3,,,1,250,250,,2,0.4,2,0.1,,,5,5,,"Town, Westernburg",,,,7,10,1
PLKCS003,plk,,7/10/2020,11h30,1,Spaceman,1,1,4,1,1,1,,,,2,2,2,1,5,4,7,2500,500,1800,90,2800,560,3,3,3,1,100,120,180,2,0.4,3,0.15,2,0.4,3,3,3,West,,,,10,10,0
PLKCS004,plk,Seshego,,15h14,1,Spaceman,1,1,2,1,1,,,,,2,2,,0,,,,,,,,,,,,,1,150,100,,2,0.4,2,0.1,,,5,5,,Seshego Two,,,,3,4,0
PLKKM005,plk,Seshego One,7/10/2020,,1,Runner,2,1,0,1,,,1200,,,2,,,0,,,,,,,,,,,,,1,60,,,30,6,,,,,3,,,Seshego One,,,,6,10,0
PLKKM006,plk,Seshego One,7/10/2020,16h00,1,Runner,1,1,0,1,,,60,,,2,,,0,,,,,,,,,,,,,1,50,,,30,6,,,,,3,,,Seshego Two,,,,4,8,0
PLKKM007,plk,CBD,6/10/2020,13h00,1,Runner,1,2,1,1,0,,800,250,,1,1,,1,6,,,2000,400,,,,,2,,,1,250,250,,2,0.4,2,0.1,,,3,3,,"Town, Westernburg",,,,7,10,1
PLKMP008,plk,CDD,7/10/2020,11h30,1,Runner,2,1,0,,,,1200,,,1,,,1,3,,,3000,600,,,,,3,,,1,100,,,2,0.4,,,,,3,,,Westernburg Brich,,,,11,12,1
PLKTAM010,plk,CBD,7/10/2020,13h40,1,Syman,2,1,2,0,0,,200,100,,1,1,,0,,,,,,,,,,,,,1,50,100,,2,0.4,3,0.15,,,5,5,,Shoprite Blokwane,,,,10,20,0
PLKML011,plk,CBD,7/10/2020,13h00,1,Spaceman,1,1,0,0,,,200,,,1,,,0,,,,,,,,,,,,,1,90,,,3,0.6,,,,,5,,,RSA,,,,20,10,0
PLKML012,plk,CBD,7/10/2020,,1,,2,1,0,0,,,25,,,1,,,1,4,,,50,10,,,,,2,,,1,80,,,2,0.4,,,,,5,,,Boxer,,,,8,7,0
PLKTE013,plk,CBD,7/10/2020,10h00,1,Makwere,2,1,2,0,0,,800,250,,1,1,,1,6,0,,1000,50,,,,,2,,,1,250,250,,2,0.4,2,0.1,,,5,5,,Town,,,,5,4,1
PLKDR014,plk,CBD,8/10/2020,12h00,1,Spaceman,1,1,4,0,,0,40,,60,1,,1,0,,,,,,,,,,,,,1,100,,90,2,0.4,,,2,0.4,4,,4,Mankweng,Mnandi 5,,,2,10,0
PLKDR015,plk,Sebayeng,8/10/2020,11h30,1,Dealer,2,4,1,0,,0,140,,120,1,,1,1,7,,5,150,30,,,100,20,2,,2,1,300,,350,3,0.6,,,2,0.4,5,,5,Sebanyeng taxi Rank,Mnandi 5,,,6,3,0
PLKKM016,plk,Blood River,8/10/2020,11h53,1,Runner,1,1,0,1,,,500,,,1,,,0,,,,,,,,,,,,,1,35,,,3,0.6,,,,,5,,,Blood River Ext Mangeye,,,,4,6,0
PLKML017,plk,Turfloop,8/10/2020,14h30,1,Makwere,2,1,2,0,0,,400,90,,1,1,,0,,,,,,,,,,,,,1,200,100,,2,0.4,2,0.1,,,5,5,,Mall,,,,,10,0
PLKML018,plk,Turfloop,8/10/2020,13h00,1,Runner,1,1,2,0,0,,100,,,1,2,,0,,,,,,,,,,,,,1,100,50,,2,0.4,2,0.1,,,5,4,,Park,,,,5,3,0
PLKML019,plk,Turfloop,8/10/2020,11h30,,Boso / Yandi Boso,1,1,4,0,1,0,600,200,200,1,1,0,1,10,,,50,10,65,3.25,79,15.8,3,3,3,1,680,530,470,3,0.6,5,0.25,1,0.2,5,5,5,Mnandi 5,,,,15,8,1
PLKML020,plk,Turfloop,8/10/2020,10h45,2,Makwere,2,1,2,1,1,,400,,,1,1,,1,15,10,20,200,40,145,7.25,20,4,2,2,2,1,480,,,3,0.6,2,0.4,3,0.6,5,5,5,Paledi taxi rank,,,,,8,1
PLKCS021,plk,Blood River,8/10/2020,12h45,1,Snyman,1,1,0,1,,,,,,1,,,0,,,,,,,,,,,,,1,140,,,2,0.4,,,,,5,,,Blood River,,,,6,5,1
PLKKM022,plk,Blood River,8/10/2020,12h11,3,,1,1,0,1,,,80,,,1,,,0,,,,,,,,,,,,,1,50,,,4,0.8,,,,,3,,,Blood River,Thakgalang,,,6,10,1
